Player,Age,League,Position,Team,Birth country,Non-penalty goals per 90,npxG per 90,"Successful dribbles, %","Goal conversion, %",Touches in box per 90,"Accurate short / medium passes, %",Passes per 90,Shot assists per 90,xA per 90,Assists per 90,Second assists per 90,Third assists per 90,Progressive passes per 90,Progressive runs per 90,"Duels won, %",pAdj Tkl+Int per 90,Successful defensive actions per 90,PAdj Sliding tackles,"Defensive duels won, %",Fouls per 90,Cards per 90,Shots blocked per 90,PAdj Interceptions,"Aerial duels won, %","Accurate long passes, %","1st, 2nd, 3rd assists",Conceded goals per 90,Prevented goals per 90,Shots against per 90,"Save rate, %",Exits per 90,Passes,"Long Pass
Cmp %","% of Passes
Being Short","% of Passes
Being Lateral","Received
Passes",Goals prevented %,"Accurate passes, %",Shots per 90,"Accurate crosses, %",Smart passes per 90,xA per Shot Assist,Accelerations per 90,Aerial duels won per 90,Fouls suffered per 90,npxG per shot,Crosses per 90,pos_group,league_clean
Ben Wodskou,19,English National League 25-26,"CF, RWF",Brackley Town,England,0.8315508021390374,0.9358288770053476,0.7112299465240641,0.767379679144385,0.5935828877005348,0.4732620320855615,0.1978609625668449,0.1256684491978609,0.4786096256684492,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.320855614973262,0.2834224598930481,0.4064171122994652,0.2700534759358289,0.6256684491978609,0.9171122994652406,0.6417112299465241,0.6577540106951871,0.6229946524064172,0.5374331550802139,0.1684491978609625,0.4010695187165775,0.7299465240641712,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.5160427807486632,0.3155080213903743,0.5026737967914439,0.1978609625668449,0.7299465240641712,0.5026737967914439,0.0641711229946524,0.0320855614973262,0.5026737967914439,0.4411764705882353,0.6417112299465241,0.5989304812834224,0.2433155080213903,0.983957219251337,0.3582887700534759,0.5561497326203209,0.5080213903743316,0.9518716577540108,0.5748663101604278,Attacker,National League
Z. Massiah-Edwards,19,English National League 25-26,"CF, RW, RWF",Braintree Town,England,0.4839572192513369,0.7165775401069518,0.9598930481283422,0.6737967914438503,0.0909090909090909,0.7379679144385026,0.4224598930481283,0.0641711229946524,0.053475935828877,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.1122994652406417,0.5026737967914439,0.2834224598930481,0.8770053475935828,0.962566844919786,0.6417112299465241,0.713903743315508,0.946524064171123,0.8903743315508021,0.8262032085561497,0.8957219251336899,0.0775401069518716,0.3048128342245989,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.8342245989304813,0.5347593582887701,0.5026737967914439,0.4224598930481283,0.3048128342245989,0.5026737967914439,0.7112299465240641,0.2647058823529412,0.5026737967914439,0.7058823529411765,0.2032085561497326,0.053475935828877,0.2433155080213903,0.0989304812834224,0.8368983957219251,0.1925133689839572,0.6684491978609626,0.962566844919786,0.0588235294117647,Attacker,National League
F. Hubbard,19,English National League 25-26,"AMF, CF, LCMF3",Braintree Town,England,0.0748663101604278,0.0106951871657754,0.2032085561497326,0.0721925133689839,0.0374331550802139,0.6310160427807486,0.7486631016042781,0.9411764705882352,0.8262032085561497,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.732620320855615,0.2620320855614973,0.7433155080213903,0.4919786096256685,0.8983957219251337,0.9732620320855616,0.93048128342246,0.4572192513368984,0.8903743315508021,0.1470588235294117,0.1764705882352941,0.0401069518716577,0.3048128342245989,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.6577540106951871,0.5240641711229946,0.5026737967914439,0.7486631016042781,0.3048128342245989,0.5026737967914439,0.1497326203208556,0.7005347593582888,0.5026737967914439,0.6417112299465241,0.0454545454545454,0.7941176470588235,0.9893048128342246,0.3368983957219251,0.1443850267379679,0.0588235294117647,0.767379679144385,0.0106951871657754,0.4679144385026738,Attacker,National League
S. Patton,19,English National League 25-26,CF,Aldershot Town,Republic of Ireland,0.9893048128342246,0.9893048128342246,0.3101604278074866,0.9893048128342246,0.6577540106951871,0.2406417112299465,0.1925133689839572,0.8582887700534759,0.9759358288770054,0.7593582887700535,0.9598930481283422,0.3663101604278075,0.1550802139037433,0.0080213903743315,0.0053475935828877,0.0588235294117647,0.0614973262032085,0.1470588235294117,0.1229946524064171,0.1711229946524064,0.8903743315508021,0.7406417112299465,0.0909090909090909,0.0320855614973262,0.0588235294117647,0.8823529411764706,0.4973262032085561,0.5026737967914439,0.9037433155080214,0.9786096256684492,0.5026737967914439,0.1925133689839572,0.0588235294117647,0.5026737967914439,0.0802139037433155,0.1042780748663101,0.5026737967914439,0.4973262032085561,0.5347593582887701,0.9358288770053476,0.8101604278074866,0.9090909090909092,0.1443850267379679,0.1443850267379679,0.0802139037433155,1.0,0.1122994652406417,Attacker,National League
A. Dausch,19,English National League 25-26,"CF, LW, LAMF",Scunthorpe United,England,0.0748663101604278,0.839572192513369,0.0989304812834224,0.0721925133689839,0.6417112299465241,0.1122994652406417,0.2647058823529412,0.0588235294117647,0.1764705882352941,0.8368983957219251,0.3128342245989304,0.9946524064171124,0.3048128342245989,0.6898395721925134,0.4010695187165775,0.2994652406417112,0.6470588235294118,0.1470588235294117,0.7299465240641712,0.2219251336898395,0.8903743315508021,0.1470588235294117,0.3636363636363636,0.6310160427807486,0.7299465240641712,0.9518716577540108,0.4973262032085561,0.5026737967914439,0.3342245989304813,0.5882352941176471,0.5026737967914439,0.2647058823529412,0.7299465240641712,0.5026737967914439,0.4973262032085561,0.1229946524064171,0.5026737967914439,0.2406417112299465,0.7486631016042781,0.6657754010695187,0.2433155080213903,0.7379679144385026,0.56951871657754,0.6951871657754011,0.1096256684491978,0.7219251336898396,0.2245989304812834,Attacker,National League
H. Whitwell,20,English National League 25-26,"AMF, LDMF, RCMF",Forest Green Rovers,England,0.2192513368983957,0.1657754010695187,0.3609625668449198,0.2085561497326203,0.160427807486631,0.6577540106951871,0.9358288770053476,0.767379679144385,0.427807486631016,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.9411764705882352,0.9572192513368984,0.946524064171123,0.946524064171123,0.9679144385026738,0.8796791443850267,0.9411764705882352,0.4732620320855615,0.1764705882352941,0.7620320855614974,0.9385026737967914,0.6470588235294118,0.6631016042780749,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.2566844919786096,0.5614973262032086,0.5026737967914439,0.9358288770053476,0.6631016042780749,0.5026737967914439,0.7914438502673797,0.8796791443850267,0.5026737967914439,0.7165775401069518,0.2887700534759358,0.5614973262032086,0.6550802139037433,0.1764705882352941,0.7540106951871658,0.4438502673796791,0.9037433155080212,0.2299465240641711,0.5294117647058824,Attacker,National League
D. Lipsiuc,20,English National League 25-26,"RW, RAMF, AMF",Solihull Moors,Republic of Ireland,0.5508021390374331,0.2513368983957219,0.8663101604278075,0.8422459893048129,0.3422459893048128,0.2727272727272727,0.6417112299465241,0.5320855614973262,0.6256684491978609,0.7165775401069518,0.3128342245989304,0.3663101604278075,0.7005347593582888,0.6363636363636364,0.9090909090909092,0.8609625668449198,0.9946524064171124,0.1470588235294117,0.6898395721925134,0.4732620320855615,0.1256684491978609,0.6871657754010695,0.9144385026737968,0.4171122994652406,0.4786096256684492,0.5240641711229946,0.4973262032085561,0.5026737967914439,0.3850267379679144,0.2566844919786096,0.5026737967914439,0.6417112299465241,0.4786096256684492,0.5026737967914439,0.7754010695187166,0.5508021390374331,0.5026737967914439,0.1871657754010695,0.1550802139037433,0.2459893048128342,0.5427807486631016,0.7486631016042781,0.9732620320855616,0.5775401069518716,0.8101604278074866,0.5240641711229946,0.8288770053475936,Attacker,National League
K. Rai,20,English National League 25-26,"AMF, CF, RAMF",Aldershot Town,Wales,0.0748663101604278,0.0748663101604278,0.9732620320855616,0.0721925133689839,0.3101604278074866,0.4598930481283422,0.839572192513369,0.2727272727272727,0.1764705882352941,0.1925133689839572,0.3128342245989304,0.9732620320855616,0.7540106951871658,0.6898395721925134,0.5855614973262032,0.8983957219251337,0.9064171122994652,0.5561497326203209,0.516042780748663,0.8502673796791445,0.4037433155080213,0.7165775401069518,0.9197860962566844,0.1229946524064171,0.3048128342245989,0.5588235294117647,0.4973262032085561,0.5026737967914439,0.3502673796791443,0.4171122994652406,0.5026737967914439,0.839572192513369,0.3048128342245989,0.5026737967914439,0.3475935828877005,0.7379679144385026,0.5026737967914439,0.4224598930481283,0.320855614973262,0.4331550802139037,0.7887700534759359,0.1684491978609625,0.4866310160427807,0.2245989304812834,0.1470588235294117,0.053475935828877,0.8342245989304813,Attacker,National League
A. Boatswain,20,English National League 25-26,CF,Gateshead,England,0.7299465240641712,0.5989304812834224,0.9946524064171124,0.8556149732620321,0.3475935828877005,0.2005347593582887,0.1711229946524064,0.0454545454545454,0.2219251336898395,0.1925133689839572,0.3128342245989304,0.9812834224598932,0.0187165775401069,0.0454545454545454,0.2245989304812834,0.9411764705882352,0.5401069518716578,0.1470588235294117,0.1176470588235294,0.1229946524064171,0.3877005347593583,0.9572192513368984,0.9732620320855616,0.5882352941176471,0.1791443850267379,0.5935828877005348,0.4973262032085561,0.5026737967914439,0.7112299465240641,0.4117647058823529,0.5026737967914439,0.1711229946524064,0.1791443850267379,0.5026737967914439,0.5133689839572193,0.2352941176470588,0.5026737967914439,0.1443850267379679,0.3368983957219251,0.053475935828877,0.2433155080213903,0.9679144385026738,0.1443850267379679,0.8609625668449198,0.5080213903743316,0.7593582887700535,0.4224598930481283,Attacker,National League
T. Sellars-Fleming,20,English National League 25-26,"LWF, LAMF, CF",Scunthorpe United,England,0.8823529411764706,0.9946524064171124,0.6737967914438503,0.4358288770053476,1.0,0.4037433155080214,0.5721925133689839,0.8689839572192514,0.8262032085561497,0.1925133689839572,0.3128342245989304,0.946524064171123,0.5614973262032086,0.8502673796791443,0.3529411764705882,0.9224598930481284,0.7780748663101604,0.1470588235294117,0.1657754010695187,0.1577540106951871,0.0721925133689839,0.1470588235294117,0.9679144385026738,0.1310160427807486,0.4251336898395721,0.4331550802139037,0.4973262032085561,0.5026737967914439,0.0802139037433155,0.1978609625668449,0.5026737967914439,0.5721925133689839,0.4251336898395721,0.5026737967914439,0.7005347593582888,0.5561497326203209,0.5026737967914439,0.2780748663101604,0.9893048128342246,0.4331550802139037,0.7219251336898396,0.4491978609625668,0.7780748663101604,0.3582887700534759,0.7994652406417112,0.839572192513369,0.6524064171122995,Attacker,National League
F. Hockey,20,English National League 25-26,"CF, LW",Braintree Town,England,0.0748663101604278,0.0641711229946524,0.0561497326203208,0.0721925133689839,0.2406417112299465,0.786096256684492,0.2834224598930481,0.732620320855615,0.7032085561497327,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.4010695187165775,0.5989304812834224,0.0320855614973262,0.0641711229946524,0.2780748663101604,0.1470588235294117,0.2593582887700534,0.0828877005347593,0.8903743315508021,0.1470588235294117,0.1016042780748663,0.0160427807486631,0.0588235294117647,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.7941176470588236,0.7700534759358288,0.5026737967914439,0.2834224598930481,0.0588235294117647,0.5026737967914439,0.5347593582887701,0.1791443850267379,0.5026737967914439,0.8021390374331551,0.0267379679144385,0.6657754010695187,0.9117647058823528,0.5882352941176471,0.8877005347593583,0.0160427807486631,0.0053475935828877,0.4919786096256685,0.2860962566844919,Attacker,National League
T. Harris,20,English National League 25-26,"RW, RAMF",Braintree Town,England,0.8770053475935828,0.5401069518716578,0.6283422459893048,0.6737967914438503,0.4304812834224599,0.9171122994652406,0.3315508021390374,0.4705882352941176,0.1149732620320855,0.1925133689839572,0.3128342245989304,0.3663101604278075,0.4759358288770053,0.7967914438502673,0.8663101604278075,0.3235294117647059,0.8288770053475936,0.1470588235294117,0.9732620320855616,0.8262032085561497,0.2272727272727273,0.8502673796791443,0.4010695187165775,0.2005347593582887,0.0588235294117647,0.1176470588235294,0.4973262032085561,0.5026737967914439,0.0748663101604277,0.4919786096256685,0.5026737967914439,0.3315508021390374,0.0588235294117647,0.5026737967914439,0.679144385026738,0.2754010695187165,0.5026737967914439,0.8101604278074866,0.8582887700534759,0.5401069518716578,0.2433155080213903,0.0454545454545454,0.606951871657754,0.2941176470588235,1.0,0.2406417112299465,0.5481283422459893,Attacker,National League
T. Works,21,English National League 25-26,"LAMF, CF, LW",Yeovil Town,England,0.7887700534759359,0.6042780748663101,0.893048128342246,0.7540106951871658,0.6577540106951871,0.893048128342246,0.6737967914438503,0.4224598930481283,0.3609625668449198,0.4598930481283422,0.3128342245989304,0.3663101604278075,0.5080213903743316,0.7032085561497327,0.7593582887700535,0.8074866310160428,0.8342245989304813,0.4839572192513369,0.6951871657754011,0.7406417112299466,0.7406417112299466,0.6016042780748663,0.8288770053475936,0.3101604278074866,0.2352941176470588,0.2887700534759358,0.4973262032085561,0.5026737967914439,0.4117647058823529,0.9037433155080212,0.5026737967914439,0.6737967914438503,0.2352941176470588,0.5026737967914439,0.3101604278074866,0.6684491978609626,0.5026737967914439,0.962566844919786,0.5775401069518716,0.5748663101604278,0.2433155080213903,0.3262032085561497,0.9117647058823528,0.267379679144385,0.0962566844919786,0.5026737967914439,0.232620320855615,Attacker,National League
